Country Name,Year,Foreign Investment,GNI per Capita,Unemployment Rate,Labor Force participation rate,Economic Index
Ukraine,2016,0.3002735773968202,7.768874161146479e-08,0.2485222998387963,0.4365395355540741,0.06763084372710838
France,2012,0.32790660758622103,1.5498366932535993e-06,0.26171413218699624,0.43522438611346315,0.06749348646226211
Croatia,2022,0.30008120825065815,6.877422702102482e-07,0.18430951101558302,0.3712865044048498,0.06740386337405428
Belgium,2012,0.3076403034086139,1.6762151531100376e-06,0.1999462654486835,0.38301475489577885,0.06737856633785702
Romania,2016,0.30231036922832544,3.3295174976342054e-07,0.15585706609349811,0.34154250815212495,0.0673682918104328
France,2017,0.3382520606673959,1.3654601866641783e-06,0.250107469102633,0.41778514421604485,0.0673614238195153
France,2013,0.3284023045787483,1.5630831607173054e-06,0.2636485760343901,0.43601707892698227,0.06731471257797363
Belgium,2006,0.35272061401899946,1.4241742586654696e-06,0.2188608275120903,0.37906930657394555,0.06731446930140034
Hungary,2005,0.32267569535066326,3.6588891210560836e-07,0.19046211714132186,0.36507107211703027,0.06718954347466405
Armenia,2023,0.29687166018658545,2.3700436381009076e-07,0.35317033852767327,0.5398418217522113,0.06702158116574806
Armenia,2022,0.2972507174783538,1.9762297405312703e-07,0.35677055346587855,0.5429945772605257,0.06696997531825186
Poland,2011,0.31439183595405656,4.5610809591247074e-07,0.25459430413756046,0.432233772317005,0.06696730528534252
Latvia,2005,0.2970917252155915,2.5991717239596056e-07,0.2668726491133799,0.4527537067396904,0.06688551400540746
Ukraine,2017,0.299843978820875,7.768874161146479e-08,0.2525523911875336,0.43664763002864493,0.06680348449468057
Belgium,2004,0.33898555446368517,1.172491376855056e-06,0.19513702310585707,0.3593060334732556,0.06673294376553665
Slovak Republic,2007,0.30116560280543514,5.291426732799307e-07,0.2971520687802257,0.4801916875349054,0.0667247486028161
Serbia,2021,0.3007263596445644,3.1254502961663024e-07,0.2617678667383127,0.4444124164519788,0.06660170217970449
Saudi Arabia,2000,0.29451133078351655,3.683950005446879e-07,0.12009672219236969,0.3049525285099176,0.06642247853936152
Portugal,2016,0.3033678477243638,7.077909777228843e-07,0.29468027941966685,0.47386816077251515,0.0661747149384949
Bulgaria,2016,0.2977424266979189,2.584851218593437e-07,0.2008328855454057,0.3826904714720666,0.06614588909768501
Poland,2010,0.3144014252079839,4.5002188113184904e-07,0.2546480386888769,0.42783793035112694,0.06607834586418898
Israel,2004,0.299140990615461,7.342839126502962e-07,0.34736700698549167,0.5278793665663789,0.06601693811967987
Estonia,2002,0.29663947479657876,1.5967363483278016e-07,0.26668457818377217,0.44841191201109754,0.06600949408194037
Georgia,2006,0.29743841332790655,6.265221097698772e-08,0.361902203116604,0.5428504512944313,0.06593352229446162
Estonia,2003,0.2973107325479782,1.994130372238981e-07,0.3005910800644815,0.48069612841623577,0.0657521826316673
Ireland,2010,0.3325130856836633,1.6046126262791945e-06,0.3878022568511553,0.5500207181076259,0.06569580312597358
Malta,2011,0.3038013787924564,7.829736308952695e-07,0.16867275658248254,0.34386653935539657,0.06541928592064389
Portugal,2011,0.3057328133893454,8.091085531885273e-07,0.3380440623320795,0.5121516205163313,0.0653951975300615
Albania,2021,0.2974836668680323,2.1444956785837515e-07,0.3055883933369156,0.4828400021618894,0.06519879567658192
Belgium,2017,0.2605579175343613,1.5151094677406406e-06,0.18780225685115529,0.3831588808618732,0.0651278741103136
Georgia,2014,0.29807656333316274,1.6790792541832712e-07,0.46585169263836645,0.641883005747023,0.0650140029090103
Cyprus,2014,0.34592895383497885,9.462273920695919e-07,0.434631918323482,0.5866827607328803,0.06500353697907357
Hungary,2006,0.3142266323110684,3.966779986428709e-07,0.19865663621708757,0.36613400111697614,0.06491833455008386
Saudi Arabia,2008,0.3015949612150794,7.296297484062914e-07,0.13393336915636753,0.307474732916569,0.06486813368842245
Poland,2012,0.30361830916667965,4.6577443703463456e-07,0.2668189145620634,0.43911578719801103,0.06482143833107601
Ukraine,2002,0.29697966867277575,2.2196783317561368e-08,0.26963997850617943,0.44453852667231153,0.06467768759889565
Latvia,2013,0.2972637828081516,5.262785722066969e-07,0.31614723267060724,0.49080296178860305,0.06465778724370044
Belgium,2005,0.3285944902960784,1.3468435296881592e-06,0.22407307898979043,0.3824202352856396,0.06452955371054253
Saudi Arabia,2009,0.29673356169967274,7.034948261130337e-07,0.14177861364857602,0.31552777127209175,0.06442353944208348
Romania,2007,0.30600323957918396,2.273380226879269e-07,0.16961311123052122,0.33864197308447586,0.06440620999772066
Hungary,2000,0.2989499847211526,1.5967363483278016e-07,0.17364320257925844,0.34548795647395814,0.06426402908787263
Saudi Arabia,2001,0.29633396667032375,3.7161711425207584e-07,0.12138635142396562,0.29369268740879517,0.06409484967255541
Israel,2002,0.2978326328096135,6.79149966990547e-07,0.3435787211176787,0.5133406597366096,0.06373599057973103
France,2016,0.33047527524595555,1.3941011973965155e-06,0.2675174637291779,0.420325364368458,0.06360980470305028
France,2015,0.33767677444319466,1.4667777621298214e-06,0.27549704459967755,0.42432485992757674,0.06353397389878036
Romania,2015,0.3004555157234157,3.3832193927573376e-07,0.1803331542181623,0.34752373574504103,0.06348383703868697
Belgium,2002,0.31368985909980285,8.556501956285753e-07,0.1829661472326706,0.3429117048300213,0.06335852525454824
Italy,2007,0.35958074932589223,1.280253179735475e-06,0.16055883933369156,0.2974399625272488,0.06333493969789054
Poland,2013,0.2976020112526607,4.700705886444851e-07,0.2738581407845244,0.44125966094366464,0.06324074019238844
Croatia,2019,0.3001303679379098,5.599317598171932e-07,0.17509403546480387,0.34111013025384185,0.06321653571747848
Romania,2001,0.29742461005500476,5.728202146467449e-08,0.17358946802794195,0.3405336263894643,0.06313132131881567
Malta,2008,0.31054344790021365,7.20679432552436e-07,0.15789897904352498,0.31743744032284216,0.06296239738560107
France,2000,0.3360041757248565,8.896613958732258e-07,0.2718430951101558,0.4185958527753255,0.06295141393621755
Lithuania,2004,0.2971585473306783,2.087213657119077e-07,0.2843632455668995,0.4493126992991875,0.06270584984020827
Belarus,2000,0.29642905371226735,4.3677541366814306e-08,0.3257388500806018,0.4906047885852233,0.06261611491092171
Greece,2008,0.3018130817456211,1.024274146315211e-06,0.2032240730789898,0.3649990091339831,0.06253680752263392
Albania,2018,0.2974700471655585,1.6898196332078977e-07,0.3278882321332617,0.4905327256021762,0.06227598790132042
Ukraine,2020,0.29660664669500186,1.2065025770997065e-07,0.25188070929607737,0.41470445169077774,0.06222547347356912
Germany,2004,0.276744981636678,1.1277397975857793e-06,0.2855185384202042,0.45741978489199553,0.06205531132792487
Malta,2007,0.3304447048309609,6.383365266969664e-07,0.17119828049435787,0.31514944061109407,0.06183502167470667
Israel,2003,0.29950068353027587,6.855941944053229e-07,0.36015583019881786,0.519051651143099,0.061729575338981026
