date,location_key,inc_case,inc_hosp,inc_death,sni_covid19_vaccination,liberalism,children,adult,elderly,new_persons_vaccinated,stringency_index,stringency_category,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,population,PC1,PC2,PC3
2021-06,Vermont,192.0,-0.5682768725888752,-0.5850884248558473,-0.1552288677072136,1.0,-0.7925597226382455,-0.7881121153650177,-0.8276811013377676,-0.4798000701024084,-0.2741333291975965,1,0.8973511617181408,0.9541326327386012,2.298512686465128,-1.2670242265355052,-1.697813366959788,-0.2932398941146151,-0.4522715572369002,0.9608886090006411,2.9604358860001176,1.2980477228650675
2021-07,Vermont,497.0,-0.5692406132221309,-0.582828841288465,-0.1592416395068921,1.0,-0.7925597226382455,-0.7881121153650177,-0.8276811013377676,-0.5032688430239505,-0.7699738121374583,1,1.3702505313939972,1.359805943787614,2.6657089054664125,-1.1376690763389825,-2.250338154893425,-0.135748622460163,-0.4522715572369002,1.3567248165276375,3.745136558318792,1.0993392019077066
2021-08,Vermont,2946.0,-0.5549772518499467,-0.5745437015413968,0.6037173516893959,1.0,-0.7925597226382455,-0.7881121153650177,-0.8276811013377676,-0.5146214477275571,-0.7809215214343114,1,1.471864880011272,1.5365652923558588,2.4898366738596507,-1.1404452328704708,-1.707458749720303,-0.3166858372097726,-0.4522715572369002,1.6279892756210372,3.2664910081641203,1.2713062327082678
2021-09,Vermont,4955.0,-0.5349314466782285,-0.5624925891820247,0.0834662624916561,1.0,-0.7925597226382455,-0.7881121153650177,-0.8276811013377676,-0.5034057081821792,-0.7589006000003414,1,0.9057571943883604,1.1505415775715766,1.849118634466572,-1.008876637686331,-1.2412559386788244,-0.275727488279503,-0.4522715572369002,1.0832866840761943,2.405305491850132,1.0849654879166026
2021-10,Vermont,7133.0,-0.5376299204513444,-0.5421563370755843,0.331343196598028,1.0,-0.7925597226382455,-0.7881121153650177,-0.8276811013377676,-0.4987991150933744,-0.7699738121374583,1,0.9420995285956038,1.0009714476776932,1.188367278663878,-1.0731508231838651,-0.6684111184956739,-0.1111608314869947,-0.4522715572369002,0.8171286474315025,1.6694469132778358,1.0793645911009024
2021-11,Vermont,8197.0,-0.5252940403456716,-0.5542074494349564,1.1924290916328908,1.0,-0.7925597226382455,-0.7881121153650177,-0.8276811013377676,-0.4569724023957274,-0.5793050701764575,1,-0.389088405713174,-0.0085455250820792,-0.367927942452791,-1.4947032209176676,-1.533398295061782,0.8552049212011179,-0.4522715572369002,-1.6904427316157464,1.4601181121982127,0.28168964577007605
2021-12,Vermont,12145.0,-0.5276070178654853,-0.5451691151654273,0.6528502703130344,1.0,-0.7925597226382455,-0.7881121153650177,-0.8276811013377676,-0.4782261207827777,-0.5212754530578924,1,-0.0846504582595288,0.2159239998303741,-0.543705751739541,-1.5428204708577713,-1.8954807497520283,1.159498257004202,-0.4522715572369002,-1.7579150919193065,1.8426683090881542,0.057026918484916075
2022-01,Vermont,43284.0,-0.4983093026145124,-0.530858419238673,0.1719142988628006,1.0,-0.7925597226382455,-0.7881121153650177,-0.8276811013377676,-0.4902738564215988,-0.5212754530578924,1,-1.429327743832211,-0.9550035752517496,-0.6872594060878064,-1.653515866821033,-1.306773040980564,1.7008098428850025,-0.4522715572369002,-3.121431051739877,0.9398753666440952,0.27571501624945194
2022-02,Vermont,8474.0,-0.5420631273643205,-0.5391435589857413,-1.0222364825383712,1.0,-0.7925597226382455,-0.7881121153650177,-0.8276811013377676,-0.5152625529424181,-0.5212754530578924,1,-0.5314633080273562,-0.498729816802946,-0.3644556377813841,-1.2106710857777223,-0.91513856032092,1.2121255711051906,-0.4522715572369002,-1.8700527170453325,0.8406920472042022,0.28562705951193146
2022-03,Vermont,3826.0,-0.5572902293697604,-0.570777728929093,-1.032489959442631,1.0,-0.7925597226382455,-0.7881121153650177,-0.8276811013377676,-0.5172795131689472,-0.5212754530578924,1,-0.5648311895459944,-0.7125950718578381,-0.2641236459173609,-1.2989749003958462,-0.1134492562384545,0.5444190260373424,-0.4522715572369002,-1.4808817536790002,0.07337703013006745,0.8171322478627845
